multifarious	ks. bermacam-ragam.
nonliving	ks. tidak hidup.
nonmember	kb. bukan anggauta.
nonnegotiable	ks. tak dapat diperbincangkan (of demands).
nonpartisan	ks. 1 tak memihak. 2 tak berpartai.
nonpayment	kb. tak membayar.
nonplus	kkt. membuat heran, tercengang. he was nonplused for an answer ia tercengang tak dapat menjawab apa-apa.
nonproductive	ks. tak produktip.
nonprofit	ks. yang tak mencari keuntungan (of an organization).
nonprofitmaking	ks. yang tak mencari keuntungan (of an organization).
nonresident	kb., ks. yang tidak bertempat tinggal.
nonscheduled	ks. diluar acara, tak masuk acara (stop). n. airline lin penerbangan tanpa jadwal waktu.
nonsectarian	ks. yang tidak mengikuti suatu aliran agama.
nonsense	kb. omong kosong. to talk n. bercakap omong kosong (belaka).
nonsensical	ks. yang bukan-bukan. n. question pertanyaan yang bukan-bukan.
nonskid	ks. anti-selip (of tires).
nonsmoker	kb. orang yang tidak merokok.
nonstop	ks. tanpa berhenti, nonstop. n. flight penerbangan tanpa berhenti. -kk. terus-menerus. to fly n. terbang terus- menerus.
nonsupport	kb. tak memberi jaminan penghidupan.
nontoxic	ks. yang tak beracun.
nonunion	ks. tidak mengakui serikat buruh.
nonviolence	kb. tanpa kekerasan.
nonwhite	kb. orang yang bukan kulit putih.
